"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EROSMEDIA","EQ","08-Sep-2017","        207.60","        208.95","        211.70","        202.20","        203.30","        203.95","        206.09","     712902","           146922566.20","      12161","     303432","         42.56"
"EROSMEDIA","EQ","11-Sep-2017","        203.95","        206.70","        212.30","        205.05","        208.80","        208.85","        209.82","     788223","           165384320.30","      10382","     353193","         44.81"
"EROSMEDIA","EQ","12-Sep-2017","        208.85","        210.45","        211.30","        205.25","        206.60","        206.55","        207.87","     417986","            86886776.30","       6786","     199430","         47.71"
"EROSMEDIA","EQ","13-Sep-2017","        206.55","        206.70","        209.15","        205.00","        205.25","        205.25","        206.40","     334024","            68944045.10","       8032","     158020","         47.31"
"EROSMEDIA","EQ","14-Sep-2017","        205.25","        206.15","        208.85","        205.05","        206.80","        206.85","        206.97","     341645","            70710563.00","       4798","     158097","         46.28"
"EROSMEDIA","EQ","15-Sep-2017","        206.85","        205.75","        210.00","        202.00","        208.70","        208.75","        207.08","     685167","           141885293.35","      10423","     442194","         64.54"
"EROSMEDIA","EQ","18-Sep-2017","        208.75","        212.00","        217.50","        212.00","        214.10","        214.35","        214.81","     861196","           184997432.20","       9548","     462612","         53.72"
"EROSMEDIA","EQ","19-Sep-2017","        214.35","        216.00","        218.70","        212.30","        213.00","        213.15","        215.48","     504817","           108777295.80","       7571","     219996","         43.58"
"EROSMEDIA","EQ","20-Sep-2017","        213.15","        214.00","        217.50","        212.10","        213.05","        213.05","        214.70","     523177","           112327781.15","       7269","     256776","         49.08"
"EROSMEDIA","EQ","21-Sep-2017","        213.05","        213.35","        215.00","        205.00","        207.00","        206.85","        207.97","     486322","           101139767.45","       7917","     219268","         45.09"
"EROSMEDIA","EQ","22-Sep-2017","        206.85","        205.60","        221.25","        204.05","        208.55","        210.15","        215.29","    2505337","           539373398.50","      25664","     900681","         35.95"
"EROSMEDIA","EQ","25-Sep-2017","        210.15","        210.00","        212.45","        199.20","        202.65","        202.50","        203.98","     488822","            99708273.75","       7318","     223647","         45.75"
"EROSMEDIA","EQ","26-Sep-2017","        202.50","        204.00","        224.75","        204.00","        222.20","        222.40","        218.01","    2565848","           559382811.55","      23771","     941900","         36.71"
"EROSMEDIA","EQ","27-Sep-2017","        222.40","        225.00","        227.80","        206.30","        209.20","        208.90","        217.00","    1623935","           352399328.80","      17022","     617451","         38.02"
"EROSMEDIA","EQ","28-Sep-2017","        208.90","        208.65","        215.50","        205.50","        212.00","        211.95","        211.04","     543620","           114727682.70","       7518","     180965","         33.29"
"EROSMEDIA","EQ","29-Sep-2017","        211.95","        212.95","        216.45","        210.00","        210.90","        210.70","        213.87","     440957","            94308100.35","       6149","     180918","         41.03"
"EROSMEDIA","EQ","03-Oct-2017","        210.70","        212.90","        218.50","        211.10","        214.60","        214.90","        214.92","     479134","           102977426.40","       7266","     197164","         41.15"
"EROSMEDIA","EQ","04-Oct-2017","        214.90","        216.00","        226.25","        213.45","        222.50","        222.05","        221.08","    1462315","           323290266.50","      15443","     611330","         41.81"
